date,hour,price,zamg,volume
2025-04-01,0,81.5,81.5,144
2025-04-01,1,81.9,81.9,151
2025-04-01,2,81.9,81.9,151
2025-04-01,3,81.9,81.9,151
2025-04-01,4,81.9,81.9,151
2025-04-01,5,180.1,180.1,60
2025-04-01,6,180.1,180.1,60
2025-04-01,7,94.9,94.9,86
2025-04-01,8,145.5,145.5,40
2025-04-01,9,100,100,55
2025-04-01,10,96,96,46
2025-04-01,11,95,95,67
2025-04-01,12,85,85,65
2025-04-01,13,87.5,87.5,62
2025-04-01,14,95,95,55.8
2025-04-01,15,100.1,100.1,30
2025-04-01,16,164,164,28
2025-04-01,17,165.1,165.1,56
2025-04-01,18,294.4,294.4,80
2025-04-01,19,314.2,314.2,60
2025-04-01,20,311.8,311.8,60
2025-04-01,21,165.1,165.1,46
2025-04-01,22,81.5,81.5,144
2025-04-01,23,81.6,81.6,145
2025-04-02,0,85.9,85.9,111
2025-04-02,1,86,86,112
2025-04-02,2,86.1,86.1,116
2025-04-02,3,85.9,85.9,111
2025-04-02,4,87.2,87.2,103
2025-04-02,5,251.5,251.5,55
2025-04-02,6,250.3,250.3,55
2025-04-02,7,142.1,142.1,85
2025-04-02,8,121,121,35
2025-04-02,9,120.9,120.9,25
2025-04-02,10,115,115,10
2025-04-02,11,107.9,107.9,5
2025-04-02,12,106.5,106.5,5
2025-04-02,13,106.5,106.5,5
2025-04-02,14,104.5,104.5,5
2025-04-02,15,108,108,5
2025-04-02,16,200.5,200.5,25
2025-04-02,17,307.2,307.2,55
2025-04-02,18,318,318,75
2025-04-02,19,321,321,55
2025-04-02,20,319.4,319.4,55
2025-04-02,21,296.4,296.4,55
2025-04-02,22,88,87.7,157
2025-04-02,23,87,86.9,137.8
2025-04-03,0,89.4,89.4,149
2025-04-03,1,89.4,95,146
2025-04-03,2,89.6,95,136
2025-04-03,3,89.4,95,126
2025-04-03,4,125.1,125.1,65
2025-04-03,5,254.9,254.9,57
2025-04-03,6,265.9,265.9,55
2025-04-03,7,170,170,102
2025-04-03,8,120,120,45
2025-04-03,9,100,100,35
2025-04-03,10,112.5,112.5,5
2025-04-03,11,112.5,112.5,5
2025-04-03,12,112.5,112.5,5
2025-04-03,13,112.5,112.5,5
2025-04-03,14,112.5,112.5,5
2025-04-03,15,175,175,18
2025-04-03,16,201.3,201.3,25
2025-04-03,17,330.4,330.4,55
2025-04-03,18,331.3,331.3,75
2025-04-03,19,338.6,338.6,55
2025-04-03,20,338.7,338.7,55
2025-04-03,21,336.5,336.5,55
2025-04-03,22,91.8,91.8,185
2025-04-03,23,89.7,89.7,160
2025-04-04,0,95,95,133.8
2025-04-04,1,91.7,95,121
2025-04-04,2,91.8,95,121
2025-04-04,3,95,95,116
2025-04-04,4,94.9,95,116
2025-04-04,5,257.2,257.2,70
2025-04-04,6,264,264,55
2025-04-04,7,170,170,105
2025-04-04,8,126,126,45
2025-04-04,9,126,126,35
2025-04-04,10,124.9,124.9,7
2025-04-04,11,122.5,122.5,5
2025-04-04,12,122.5,122.5,5
2025-04-04,13,122.5,122.5,5
2025-04-04,14,174.9,174.9,16
2025-04-04,15,200.1,200.1,25
2025-04-04,16,202.4,202.4,25
2025-04-04,17,328.9,328.9,55
2025-04-04,18,329.3,329.3,75
2025-04-04,19,338,338,55
2025-04-04,20,337.9,337.9,55
2025-04-04,21,337,337,55
2025-04-04,22,130,130,100
2025-04-04,23,92.3,92.3,165
2025-04-05,0,162.8,162.8,22
2025-04-05,1,162.9,162.9,22
2025-04-05,2,163.2,163.2,22
2025-04-05,3,162.9,162.9,22
2025-04-05,4,163.1,163.1,22
2025-04-05,5,255.5,255.5,52
2025-04-05,6,254.5,254.5,52
2025-04-05,7,170.1,170.1,50.6
2025-04-05,8,170,170,18
2025-04-05,9,125,125,5
2025-04-05,10,125,125,5
2025-04-05,11,135,135,5
2025-04-05,12,115,115,5
2025-04-05,13,115,115,5
2025-04-05,14,115,115,5
2025-04-05,15,120,120,10
2025-04-05,16,201.1,201.1,22
2025-04-05,17,315.8,315.8,52
2025-04-05,18,321.6,321.6,52
2025-04-05,19,339,339,52
2025-04-05,20,337.3,337.3,52
2025-04-05,21,336,336,52
2025-04-05,22,166.3,166.3,62
2025-04-05,23,101.5,101.5,93
2025-04-06,0,100,100,79.9
2025-04-06,1,100,100,80
2025-04-06,2,100.1,100.1,80.2
2025-04-06,3,100,100,80
2025-04-06,4,101.4,101.4,92
2025-04-06,5,257,257,52
2025-04-06,6,254.4,254.4,52
2025-04-06,7,170.1,170.1,47
2025-04-06,8,170,170,15
2025-04-06,9,110,110,5
2025-04-06,10,110,110,5
2025-04-06,11,110,110,5
2025-04-06,12,110,110,5
2025-04-06,13,110,110,5
2025-04-06,14,110,110,5
2025-04-06,15,110,110,5
2025-04-06,16,159,159,20
2025-04-06,17,304.5,304.5,52
2025-04-06,18,321.6,321.6,52
2025-04-06,19,338.3,338.3,52
2025-04-06,20,337.3,337.3,52
2025-04-06,21,336,336,52
2025-04-06,22,343,343,22
2025-04-06,23,108.2,108.2,78
2025-04-07,0,93.8,100,82
2025-04-07,1,91.2,100.1,72
2025-04-07,2,91.4,101.1,72
2025-04-07,3,91.2,103,62
2025-04-07,4,163.7,163.7,17
2025-04-07,5,262,262,52
2025-04-07,6,263.3,263.3,52
2025-04-07,7,170,170,96
2025-04-07,8,103,103,45
2025-04-07,9,95,95,34
2025-04-07,10,128,128,5
2025-04-07,11,128,128,5
2025-04-07,12,128,128,5
2025-04-07,13,128,128,5
2025-04-07,14,128,128,5
2025-04-07,15,144.9,144.9,6
2025-04-07,16,199,199,22
2025-04-07,17,324.7,324.7,52
2025-04-07,18,328.4,328.4,72
2025-04-07,19,331.3,331.3,52
2025-04-07,20,330.8,330.8,52
2025-04-07,21,329.2,329.2,52
2025-04-07,22,177.9,177.9,22
2025-04-07,23,174.4,174.4,22
2025-04-08,0,89,95,156
2025-04-08,1,89,100.6,121
2025-04-08,2,89.1,101,121
2025-04-08,3,89,101,116
2025-04-08,4,95,119.9,116
2025-04-08,5,259.8,259.8,55
2025-04-08,6,266.6,266.6,55
2025-04-08,7,170,170,103.4
2025-04-08,8,143,143,45
2025-04-08,9,91,91,30
2025-04-08,10,148,148,5
2025-04-08,11,148,148,5
2025-04-08,12,148,148,5
