,0,1,2
0,Date:Time,Price(USD/MWh),Turnover(MWh)
1,(2021/12/01) 00-01,49.95,228
2,(2021/12/01) 01-02,49.92,256
3,(2021/12/01) 02-03,49.93,237
4,(2021/12/01) 03-04,49.94,238
5,(2021/12/01) 04-05,49.96,217
6,(2021/12/01) 05-06,49.97,201
7,(2021/12/01) 06-07,182.02,115.40
8,(2021/12/01) 07-08,182.01,85.90
9,(2021/12/01) 08-09,182.04,88.30
10,(2021/12/01) 09-10,182.06,68.60
11,(2021/12/01) 10-11,120.50,70
12,(2021/12/01) 11-12,119.60,72
13,(2021/12/01) 12-13,81.09,94.20
14,(2021/12/01) 13-14,81.09,92.40
15,(2021/12/01) 14-15,81.08,92.40
16,(2021/12/01) 15-16,81.09,92.40
17,(2021/12/01) 16-17,81.09,103
18,(2021/12/01) 17-18,182.10,138
19,(2021/12/01) 18-19,262.06,38
20,(2021/12/01) 19-20,319.34,5
21,(2021/12/01) 20-21,319.34,5
22,(2021/12/01) 21-22,315.13,39
23,(2021/12/01) 22-23,50.19,181.90
24,(2021/12/01) 23-24,49.98,184
25,(2021/12/02) 00-01,50.13,296.70
26,(2021/12/02) 01-02,49.97,281.60
27,(2021/12/02) 02-03,49.17,282
28,(2021/12/02) 03-04,48.57,286
29,(2021/12/02) 04-05,50.23,316.40
30,(2021/12/02) 05-06,51.97,181
31,(2021/12/02) 06-07,182.04,110.80
32,(2021/12/02) 07-08,182.04,76.90
33,(2021/12/02) 08-09,186.83,87
34,(2021/12/02) 09-10,232.27,58
35,(2021/12/02) 10-11,115,85
36,(2021/12/02) 11-12,117.50,80
37,(2021/12/02) 12-13,112.76,92
38,(2021/12/02) 13-14,90.86,103
39,(2021/12/02) 14-15,86.66,110
40,(2021/12/02) 15-16,92.31,100
41,(2021/12/02) 16-17,84.99,139
42,(2021/12/02) 17-18,182.01,101.80
43,(2021/12/02) 18-19,262.08,55
44,(2021/12/02) 19-20,319.50,5
45,(2021/12/02) 20-21,319.50,5
46,(2021/12/02) 21-22,315.30,47
47,(2021/12/02) 22-23,52,163
48,(2021/12/02) 23-24,51.93,243.90
49,(2021/12/03) 00-01,51.97,209
50,(2021/12/03) 01-02,51.91,282.50
51,(2021/12/03) 02-03,51.93,249
52,(2021/12/03) 03-04,51.92,262
53,(2021/12/03) 04-05,51.92,276.80
54,(2021/12/03) 05-06,54.97,158
