,month,zamg,value_mean,price_weight_mean,price_max,price_min,price_mean,power_max,power_min,power_mean,date,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_value,standard_value,morning_value,evening_value,price_median,off_price_median,standard_price_median,morning_price_median,evening_price_median,price_stdev,off_price_stdev,standard_price_stdev,morning_price_stdev,evening_price_stdev,volume,off_volume,standard_volume,morning_volume,evening_volume,value,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,off_power,standard_power,morning_power,evening_power
0,1,0.0,229530.5059032258,59.038353609100156,194.85154838709676,31.958774193548386,68.25537650537635,240.63935483870966,51.66774193548387,147.20300806451613,2022-01-15 19:12:00,42.33952964895636,76.42890987800078,81.92328787878787,199.0886590909091,2659596.8568,2969020.161,919388.1632,567440.502,,,,,,,,,,,125756.28,67225.28,43374.18,12019.880000000001,3136.94,7115445.683,411.6,312.2,75.6,50.4,163.8541054084586,137.28956243384044,154.61832056832057,61.42257706062054
1,2,0.0,221234.6617112676,76.2159714944613,238.9257042253521,41.30647887323944,87.43047241784038,203.31549295774647,38.40845070422535,124.10692488262912,2022-02-14 12:00:00,54.17308512841756,101.78418245688738,105.07297029702971,226.80212871287128,2224650.122,2742322.8035999998,838634.7674,477456.69960000005,70.325,45.15176470588236,75.45909090909092,86.355,200.6925,18.620768740712922,12.64946924561815,20.8350142720174,18.292922420318593,68.67525123748581,84591.28,43020.72,30505.140000000003,8832.86,2232.56,6283064.3926,329.0,251.6,60.6,40.4,130.92551398163522,120.63075383352994,144.93084126984127,55.12423809523809
2,3,0.0,194256.5658064516,82.25071083519214,205.52012903225807,54.95258064516129,93.36946505376345,172.65032258064517,36.89677419354839,101.55935483870968,2022-03-16 04:48:00,66.25222628083492,101.69943657845914,114.64785714285713,210.64727678571427,2533088.7088,2370472.7347999997,692287.0954,426105.001,83.438125,48.748125,94.62363636363636,89.97666666666667,240.375,25.78660382267538,17.705784526996563,33.403431772803025,38.81443586233519,60.55638386391038,75560.16,39989.82,26815.72,6448.84,2305.78,6021953.54,356.2,275.8,67.2,44.8,112.52614494515993,97.24363972604505,96.29197063805759,50.949766610201394
3,4,0.0,164458.70428666667,61.801120771522,185.3888,39.026133333333334,71.00043611111111,191.17666666666668,40.768,118.91725000000001,2022-04-15 16:48:00,48.15974820261438,79.54837612000402,90.5443613707165,181.03205607476636,1990060.5768,1959271.6744,599726.524,384702.3534,89.68166666666667,54.42416666666667,97.63363636363637,109.95166666666667,196.915,33.77405583160491,32.418488060263314,34.86949157878433,37.90195133349092,67.94232617769438,85620.42,46217.659999999996,29043.140000000003,7827.74,2531.88,4933761.1285999995,346.8,266.2,64.2,42.8,133.6584947576707,109.09112726260096,122.33384271284271,59.23457142857143
4,5,0.0,141099.36736774194,51.82329346772528,178.67509677419355,25.79948387096774,59.17945430107527,194.0974193548387,51.968387096774194,119.00209677419355,2022-05-16 04:48:00,33.778483080328904,67.72152892561984,79.10163636363636,182.20286363636362,1458206.8374,1754557.1778000002,621964.2352,539352.138,72.75479166666668,41.919375,81.62181818181818,77.05333333333334,162.175,28.474551491007542,24.65102193313808,26.17595012714838,44.35617154786809,90.61091157883672,88537.56,46493.4,29897.54,9021.84,3124.7799999999997,4374080.3884,361.2,272.8,66.0,44.0,128.76623382133874,109.4254715396637,136.6258573310747,70.75210050818747
5,6,0.0,211760.14632,82.23517280353488,207.92366666666666,41.72306666666667,87.22539722222223,207.10533333333333,52.812000000000005,122.39269444444444,2022-06-15 16:48:00,48.4618375,94.82004457364341,131.78234567901234,211.0102777777778,1865212.6778000002,2338544.7992,1029854.8690000002,1119192.0436,56.265833333333326,29.36875,61.88376623376624,64.09166666666667,183.485,24.450185051581197,13.742369104204426,24.977803496952298,42.14201826581035,75.4375652032101,88122.74,44478.5,28902.159999999996,8865.32,5876.76,6352804.389599999,340.8,249.6,64.8,64.8,130.99910714285716,115.50789682539683,135.96787878787876,90.25484848484848
6,7,790.9250967741935,310914.02123225806,89.13837290055449,227.84290322580645,44.69664516129033,96.15216666666666,240.86774193548388,62.66258064516129,149.91467741935486,2022-07-16 04:48:00,51.52180913978495,103.73143045112782,161.53203030303033,247.0398181818182,2778649.9914,3558533.3401999995,1687711.3942000002,1613439.9324,69.78437500000001,26.941875,75.125,118.37166666666667,210.5,51.67483236325089,38.73564843730628,54.66751675905903,76.99638816798962,66.6839519773985,111536.51999999999,59385.68000000001,35741.04,9847.460000000001,6562.340000000001,9638334.6582,355.2,256.8,66.0,66.0,166.91044903024175,139.4289236876101,148.83522868435912,100.05884120710208
7,8,801.7369677419355,327348.79513548384,83.66063375865293,229.03387096774193,39.82490322580645,92.5411559139785,253.2916129032258,75.39225806451613,161.2491129032258,2022-08-16 04:48:00,47.596806451612906,98.27386278195489,150.6702702702703,251.4582882882883,2982738.4276,3688282.8478,1725975.9325999997,1750815.4412,96.125,46.445,119.86599999999999,193.98000000000002,283.785,52.317183571902966,32.10323505065208,52.33259443713038,85.25483083588483,66.04334909281776,119969.34,62189.81999999999,39569.659999999996,11171.64,7038.219999999999,10147812.6492,353.6,257.2,66.6,66.6,176.07891034076866,153.67487702262116,168.1092471296819,105.39476943346509
8,9,1074.4147333333333,315057.51418,96.29024816356797,242.4985333333333,49.74646666666667,110.591075,227.47266666666667,53.268,141.54494444444444,2022-09-15 16:48:00,66.02501797385621,128.19136111950064,164.87212962962963,254.96398148148148,3330406.7654,3906762.1892,1514617.5808,699938.8899999999,102.60000000000001,41.41875,110.742,169.55666666666667,266.71666666666664,45.39808149616104,28.930043720598224,45.37083929009636,70.82926602530813,53.144112780297895,101912.36000000002,56525.240000000005,33469.88,8800.619999999999,3116.62,9451725.4254,345.0,267.0,64.8,43.2,164.35380231309549,125.0576674870359,135.54842712842714,71.42393939393939
9,10,0.0,323549.7589596774,100.57880211151769,247.05411290322579,48.950725806451615,113.71619287634408,222.9798387096774,53.52258064516129,137.40803091397848,2022-04-16 12:00:00,69.15267413820366,137.4182139764997,163.09852713178296,273.09453488372094,3149243.78,4491782.0245,1472840.159,916176.56425,114.30291666666668,52.114374999999995,121.22636363636364,167.40833333333336,276.84,54.751587203124544,41.350017607193934,56.446179856124424,85.14943533819203,83.91397597484102,102231.575,57729.1,32776.375,8398.875,3327.225,10030042.52775,366.75,269.75,64.5,43.0,156.86877059753579,121.90829564886945,130.80838744588743,77.83874458874459
10,11,0.0,320982.30007500004,143.52242883225426,270.6479166666667,78.92675,152.18232291666666,199.35416666666666,48.255833333333335,111.9070138888889,2022-05-17 00:00:00,102.69754718137256,176.81089396040852,213.81827586206896,301.4314367816092,3273819.93975,4102980.37675,1342076.458,910592.22775,119.2825,55.889375,147.41909090909093,198.4083333333333,298.9975,53.45960871636829,45.9775205293325,55.24887903876909,69.07454366393094,71.03039902923051,80573.05,47372.4,23968.325,6224.9,3007.425,9629469.00225,344.0,267.25,65.25,43.5,137.7130832782551,89.69265694265694,95.61121933621934,69.01071428571429
11,12,0.0,231317.04911290322,87.7158302981989,214.6706451612903,51.35217741935484,100.03358198924732,198.4959677419355,41.76451612903226,118.37879704301075,2022-06-16 12:00:00,64.54633163345983,115.14631872800098,147.7377902621723,213.07140449438202,2649645.37275,2878339.1895,1043044.803,599799.15725,136.52583333333334,81.495,155.4618181818182,203.07000000000002,300.06,60.091528235998545,63.17084321096263,54.972091260739155,32.465074479296526,9.855913137997305,88073.825,48581.225,28906.425,7486.35,3099.825,7170828.522500001,356.5,276.25,66.75,44.5,136.57801163823208,104.9543286512754,112.84427191166321,70.16645609824958
