year,month,day,volume,value,price_weight_av,price_max,price_min,price_mean,power_max,power_min,power_mean,date,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,off_volume,standard_volume,morning_volume,evening_volume,off_value,standard_value,morning_value,evening_value
2020,1,1,826.0,38450.32,46.55002421307506,100.0,0.0,30.092916666666667,85.0,0.0,34.416666666666664,2020-01-01,18.75,45.20272727272727,25.0,0.0,8,11.0,3.0,2.0,339.0,457.0,30.0,0.0,10170.0,26030.32,2250.0,0.0
2020,1,2,1336.0,69778.31,52.22927395209581,105.0,0.0,33.13041666666667,173.0,0.0,55.666666666666664,2020-01-02,18.75,58.64818181818182,0.0,0.0,8,11.0,3.0,2.0,290.0,1046.0,0.0,0.0,8700.0,61078.31,0.0,0.0
2020,1,3,1245.0,71393.85,57.34445783132531,85.0,0.0,28.745416666666667,246.0,0.0,51.875,2020-01-03,3.75,49.89909090909091,37.0,0.0,8,11.0,3.0,2.0,33.0,1062.0,150.0,0.0,990.0,62083.85,8320.0,0.0
2020,1,4,1149.0,37270.0,32.436901653611834,65.0,0.0,24.166666666666668,130.0,0.0,47.875,2020-01-04,30.294117647058822,9.285714285714286,,,17,7.0,,,1129.0,20.0,,,35970.0,1300.0,,
2020,1,5,756.0,22680.0,30.0,30.0,0.0,18.75,142.0,0.0,31.5,2020-01-05,18.75,,,,24,,,,756.0,,,,22680.0,,,
2020,1,6,1230.0,76904.29,62.52381300813008,70.0,0.0,26.344583333333333,155.0,0.0,51.25,2020-01-06,13.125,47.93363636363636,0.0,0.0,8,11.0,3.0,2.0,131.0,1099.0,0.0,0.0,4905.0,71999.29,0.0,0.0
2020,1,7,1678.0,106350.45,63.379290822407626,118.47,0.0,52.135416666666664,220.0,0.0,69.91666666666667,2020-01-07,35.0,65.11363636363636,28.333333333333332,85.0,8,11.0,3.0,2.0,426.0,1202.0,10.0,40.0,17040.0,85060.45,850.0,3400.0
2020,1,8,2262.0,151866.9,67.13832891246685,105.0,0.0,44.34791666666666,220.0,0.0,94.25,2020-01-08,30.0,58.57727272727273,60.0,0.0,8,11.0,3.0,2.0,354.0,1523.0,385.0,0.0,14160.0,103056.9,34650.0,0.0
2020,1,9,538.0,29985.0,55.734200743494426,90.0,0.0,35.625,75.0,0.0,22.416666666666668,2020-01-09,30.0,39.54545454545455,60.0,0.0,8,11.0,3.0,2.0,266.0,209.0,63.0,0.0,10640.0,13675.0,5670.0,0.0
2020,1,10,1665.0,114135.52,68.54986186186187,109.21,0.0,48.330000000000005,155.0,0.0,69.375,2020-01-10,38.0,53.38272727272727,89.57,0.0,8,11.0,3.0,2.0,370.0,945.0,350.0,0.0,14060.0,68775.47,31300.05,0.0
