date,hourlyid,market,tradedate,hour,price,volume,date,year,month,day,day_of_week,month_no,hour_ref
2019-12-01,60671,1,2019-12-01,6,51.79,272.0,2019-12-01,2019,12,1,6,2019.12,weekend_6
2019-12-01,60679,1,2019-12-01,14,54.64,280.0,2019-12-01,2019,12,1,6,2019.12,weekend_14
2019-12-02,60691,1,2019-12-02,2,42.08,92.0,2019-12-02,2019,12,2,0,2019.12,weekday_2
2019-12-02,60700,1,2019-12-02,11,113.78,49.0,2019-12-02,2019,12,2,0,2019.12,weekday_11
2019-12-02,60710,1,2019-12-02,21,104.17,241.9,2019-12-02,2019,12,2,0,2019.12,weekday_21
2019-12-03,60719,1,2019-12-03,6,90.01,254.0,2019-12-03,2019,12,3,1,2019.12,weekday_6
2019-12-03,60729,1,2019-12-03,16,103.97,166.0,2019-12-03,2019,12,3,1,2019.12,weekday_16
2019-12-04,60741,1,2019-12-04,4,42.36,193.0,2019-12-04,2019,12,4,2,2019.12,weekday_4
2019-12-04,60750,1,2019-12-04,13,98.96,106.0,2019-12-04,2019,12,4,2,2019.12,weekday_13
2019-12-05,60762,1,2019-12-05,1,44.57,229.0,2019-12-05,2019,12,5,3,2019.12,weekday_1
2019-12-05,60773,1,2019-12-05,12,90.97,148.0,2019-12-05,2019,12,5,3,2019.12,weekday_12
2019-12-05,60780,1,2019-12-05,19,249.97,60.0,2019-12-05,2019,12,5,3,2019.12,weekday_19
2019-12-06,60789,1,2019-12-06,4,44.7,269.4,2019-12-06,2019,12,6,4,2019.12,weekday_4
2019-12-06,60803,1,2019-12-06,18,244.94,60.0,2019-12-06,2019,12,6,4,2019.12,weekday_18
2019-12-07,60812,1,2019-12-07,3,45.84,198.0,2019-12-07,2019,12,7,5,2019.12,weekend_3
2019-12-07,60821,1,2019-12-07,12,105.03,231.0,2019-12-07,2019,12,7,5,2019.12,weekend_12
2019-12-08,60833,1,2019-12-08,0,60.03,148.0,2019-12-08,2019,12,8,6,2019.12,weekend_0
2019-12-08,60843,1,2019-12-08,10,56.05,315.0,2019-12-08,2019,12,8,6,2019.12,weekend_10
2019-12-08,60851,1,2019-12-08,18,105.03,176.0,2019-12-08,2019,12,8,6,2019.12,weekend_18
2019-12-09,60862,1,2019-12-09,5,46.45,351.0,2019-12-09,2019,12,9,0,2019.12,weekday_5
2019-12-09,60872,1,2019-12-09,15,105.02,267.0,2019-12-09,2019,12,9,0,2019.12,weekday_15
2019-12-09,60880,1,2019-12-09,23,46.28,185.0,2019-12-09,2019,12,9,0,2019.12,weekday_23
2019-12-10,60889,1,2019-12-10,8,105.03,251.0,2019-12-10,2019,12,10,1,2019.12,weekday_8
2019-12-10,60899,1,2019-12-10,18,198.84,72.0,2019-12-10,2019,12,10,1,2019.12,weekday_18
2019-12-11,60909,1,2019-12-11,4,45.99,197.8,2019-12-11,2019,12,11,2,2019.12,weekday_4
2019-12-11,60919,1,2019-12-11,14,105.03,229.0,2019-12-11,2019,12,11,2,2019.12,weekday_14
2019-12-12,60929,1,2019-12-12,0,46.01,202.0,2019-12-12,2019,12,12,3,2019.12,weekday_0
2019-12-12,60942,1,2019-12-12,13,105.02,236.0,2019-12-12,2019,12,12,3,2019.12,weekday_13
2019-12-13,60953,1,2019-12-13,0,45.86,234.5,2019-12-13,2019,12,13,4,2019.12,weekday_0
2019-12-13,60962,1,2019-12-13,9,105.04,199.0,2019-12-13,2019,12,13,4,2019.12,weekday_9
2019-12-13,60973,1,2019-12-13,20,234.96,53.2,2019-12-13,2019,12,13,4,2019.12,weekday_20
2019-12-14,60981,1,2019-12-14,4,45.68,161.0,2019-12-14,2019,12,14,5,2019.12,weekend_4
2019-12-14,60991,1,2019-12-14,14,105.02,216.0,2019-12-14,2019,12,14,5,2019.12,weekend_14
2019-12-15,61002,1,2019-12-15,1,44.07,210.8,2019-12-15,2019,12,15,6,2019.12,weekend_1
2019-12-15,61009,1,2019-12-15,8,103.97,261.0,2019-12-15,2019,12,15,6,2019.12,weekend_8
2019-12-15,61020,1,2019-12-15,19,105.08,87.0,2019-12-15,2019,12,15,6,2019.12,weekend_19
2019-12-16,61032,1,2019-12-16,7,104.92,281.0,2019-12-16,2019,12,16,0,2019.12,weekday_7
2019-12-16,61041,1,2019-12-16,16,105.01,248.4,2019-12-16,2019,12,16,0,2019.12,weekday_16
2019-12-17,61049,1,2019-12-17,0,46.17,197.0,2019-12-17,2019,12,17,1,2019.12,weekday_0
2019-12-17,61059,1,2019-12-17,10,100.95,68.0,2019-12-17,2019,12,17,1,2019.12,weekday_10
2019-12-17,61069,1,2019-12-17,20,232.98,71.0,2019-12-17,2019,12,17,1,2019.12,weekday_20
2019-12-18,61079,1,2019-12-18,6,98.96,78.0,2019-12-18,2019,12,18,2,2019.12,weekday_6
2019-12-18,61091,1,2019-12-18,18,229.94,60.0,2019-12-18,2019,12,18,2,2019.12,weekday_18
2019-12-19,61103,1,2019-12-19,6,97.92,82.0,2019-12-19,2019,12,19,3,2019.12,weekday_6
2019-12-19,61111,1,2019-12-19,14,94.89,87.0,2019-12-19,2019,12,19,3,2019.12,weekday_14
2019-12-19,61119,1,2019-12-19,22,47.28,186.1,2019-12-19,2019,12,19,3,2019.12,weekday_22
2019-12-20,61133,1,2019-12-20,12,89.96,89.0,2019-12-20,2019,12,20,4,2019.12,weekday_12
2019-12-20,61141,1,2019-12-20,20,129.49,48.0,2019-12-20,2019,12,20,4,2019.12,weekday_20
2019-12-21,61150,1,2019-12-21,5,36.92,151.0,2019-12-21,2019,12,21,5,2019.12,weekend_5
2019-12-21,61163,1,2019-12-21,18,80.07,117.0,2019-12-21,2019,12,21,5,2019.12,weekend_18
2019-12-22,61171,1,2019-12-22,2,40.6,191.0,2019-12-22,2019,12,22,6,2019.12,weekend_2
2019-12-22,61181,1,2019-12-22,12,35.99,160.0,2019-12-22,2019,12,22,6,2019.12,weekend_12
2019-12-22,61190,1,2019-12-22,21,172.47,64.0,2019-12-22,2019,12,22,6,2019.12,weekend_21
2019-12-23,61199,1,2019-12-23,6,66.98,283.0,2019-12-23,2019,12,23,0,2019.12,weekday_6
2019-12-01,60673,1,2019-12-01,8,90.05,174.0,2019-12-01,2019,12,1,6,2019.12,weekend_8
2019-12-01,60683,1,2019-12-01,18,90.05,117.0,2019-12-01,2019,12,1,6,2019.12,weekend_18
2019-12-02,60692,1,2019-12-02,3,42.02,92.0,2019-12-02,2019,12,2,0,2019.12,weekday_3
2019-12-02,60701,1,2019-12-02,12,109.76,80.0,2019-12-02,2019,12,2,0,2019.12,weekday_12
2019-12-02,60711,1,2019-12-02,22,44.57,395.8,2019-12-02,2019,12,2,0,2019.12,weekday_22
2019-12-03,60723,1,2019-12-03,10,100.94,141.0,2019-12-03,2019,12,3,1,2019.12,weekday_10
