Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,0,0,0,0,84.81335184,413.9016507,523.2462279,549.093402,578.5900531,523.9662598,502.7466883,520.6028229,482.1402946,455.851731,432.9233165,358.7846849,104.8287604,0,0,0,0,0
2,0,0,0,0,0,0,0,318.3798786,430.8314429,492.5141795,502.049671,474.043223,460.2048009,477.1428126,455.9692705,447.978231,418.3237647,308.9241166,17.44104776,0,0,0,0,0
3,0,0,0,0,0,0,0,410.5119113,534.9229103,553.5229136,572.030858,553.3240007,549.1525827,530.416957,535.57472,515.8798737,488.0895996,394.2610533,6.907703725,0,0,0,0,0
4,0,0,0,0,0,0,0,405.105918,510.3135993,553.8812856,572.0341458,556.8674455,555.3903937,537.7372817,527.9116403,498.8925447,457.2802876,335.0680162,0,0,0,0,0,0
5,0,0,0,0,0,0,0,400.9731319,527.3502456,565.4724848,571.329731,574.5197355,577.5995982,562.0745259,554.0160862,539.6598328,437.9709377,41.06565752,0,0,0,0,0,0
6,0,0,0,0,0,0,0,349.2796056,500.9515401,543.952078,551.6924214,538.163876,538.1145588,536.7057291,519.6567536,507.1827755,393.9856986,3.545910741,0,0,0,0,0,0
7,0,0,0,0,0,0,0,346.3822168,505.2281682,547.3878469,566.2516975,570.7107994,565.1658959,569.0578494,562.5972888,538.2707301,472.4247951,207.6988037,0,0,0,0,0,0
8,0,0,0,0,0,0,0,391.8814957,522.9947099,565.7872933,581.107699,578.2530519,569.3677261,566.8813145,551.375969,518.0917526,466.5141219,320.1363949,0,0,0,0,0,0
9,0,0,0,0,0,0,0,410.3351911,522.4366029,551.6209114,558.9108239,537.6411131,536.762444,534.1658904,511.3739203,470.5096416,412.0670488,289.179953,0,0,0,0,0,0
10,0,0,0,0,0,0,179.2863103,458.0142927,554.539671,574.1802684,583.8513824,567.6424441,566.8862462,561.3520281,544.4345652,503.6952235,442.1982486,307.8868103,0,0,0,0,0,0
11,0,0,0,0,0,0,278.1115167,419.5608059,484.7187652,498.7593881,522.4127662,507.4589521,511.6155749,503.6927576,467.8424,448.3867423,395.4052137,313.5492533,0,0,0,0,0,0
12,0,0,0,0,0,0,265.6884998,429.8598929,502.0061075,523.5084313,547.8555389,529.3500603,511.3098079,515.4162915,489.827211,441.326977,390.3978682,282.3815691,1.966114625,0,0,0,0,0
